品种,周期,时间,参数,仓位,累计收益率,年化收益率,最大回测,卡玛比率,夏普比率,开仓次数,平常次数,胜率,回测id
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-25, 26)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.18977928998867563,-0.06522546219008155,0.24130094084122586,-0.2703075336660183,-0.8315782774215834,362,362,0.4419889502762431,1147
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-25, 27)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.20276407946654576,-0.06968821940234388,0.2444936739825931,-0.28503076691998736,-0.9128159000122212,350,350,0.4428571428571429,1148
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-24, 23)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.2057519025701955,-0.0707151077571764,0.26514787232910286,-0.2667006419323797,-0.8890832619813903,427,427,0.4449648711943794,1149
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-24, 24)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.1730681574791358,-0.0594819938605316,0.22124690751867662,-0.2688489277777155,-0.7488432573574186,404,404,0.44801980198019803,1150
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-24, 25)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.1778110327715358,-0.06111207811827737,0.22420333544837878,-0.27257434862001856,-0.7734365794409473,391,391,0.4475703324808184,1151
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-24, 26)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.1627033281583459,-0.055919693764403255,0.21079646625780762,-0.2652781365699581,-0.7127031177543717,373,373,0.4477211796246649,1152
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-24, 27)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.17568811763621614,-0.06038245097666562,0.2139891993991748,-0.28217522728344985,-0.7906280059619268,361,361,0.4487534626038781,1153
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-23, 23)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.19988402156162505,-0.06869836899246058,0.25216323738497043,-0.2724361001424674,-0.8549733572729288,442,442,0.4502262443438914,1154
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-23, 24)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.17119182001445546,-0.058837113281804375,0.21389279984136936,-0.27507757776531105,-0.7304306955716403,419,419,0.4510739856801909,1155
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-23, 25)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.1727853567722054,-0.05938479776069207,0.21372247058112298,-0.2778594014902672,-0.7414803235426051,406,406,0.4532019704433498,1156
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-23, 26)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.16187853420521553,-0.055636219383148465,0.20031560139055182,-0.2777428168197219,-0.6963960136503845,388,388,0.4536082474226804,1157
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-23, 27)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.17486332368308577,-0.06009897659541083,0.20502169624826383,-0.2931347154724351,-0.7720691072759509,376,376,0.4547872340425532,1158
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-22, 23)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.23804515890350425,-0.08181401412408573,0.2715990829488566,-0.3012308187339929,-1.0071417229158686,468,468,0.4444444444444444,1159
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-22, 24)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.21313216359791468,-0.07325163814805918,0.23708075403319367,-0.3089733641466452,-0.8961654871574563,445,445,0.4449438202247191,1160
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-22, 25)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.21472570035566482,-0.07379932262694695,0.23657748436597306,-0.311945673210318,-0.9079241850087342,432,432,0.4467592592592592,1161
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-22, 26)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.20381887778867483,-0.0700507442494033,0.22476855266892376,-0.3116572288143244,-0.8638504793499995,414,414,0.4468599033816425,1162
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-22, 27)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.2136530057318952,-0.07343064697941784,0.24227680632112472,-0.303085747638961,-0.9299182929414296,402,402,0.4477611940298508,1163
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-21, 23)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.22485107290022383,-0.07727932354857034,0.27974248114272754,-0.2762516555686857,-0.9446042801860376,488,488,0.4549180327868853,1164
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-21, 24)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.19993807759463406,-0.06871694757254372,0.24873341298334684,-0.2762674573887845,-0.8348453837755327,465,465,0.4559139784946237,1165
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-21, 25)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.2015316143523842,-0.06926463205143149,0.24933260259818243,-0.2778001405739003,-0.8463243088513241,452,452,0.4579646017699115,1166
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-21, 26)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.19230470360387425,-0.06609342449662345,0.23371481445206246,-0.28279518631104983,-0.8088676070072937,434,434,0.4585253456221198,1167
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-21, 27)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.2021388315470946,-0.06947332722663797,0.23737975165248146,-0.2926674526492274,-0.8727626709282351,422,422,0.4597156398104265,1168
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI', 'SHFE.CU']",60s,"('2019-06-22', '2019-09-22')","{'diffThresh': {'SHFE.RB': (-9, 7.5), 'DCE.J': (-6.5, 5.5), 'DCE.I': (-2.5, 2), 'DCE.JM': (-6.5, 5), 'SHFE.NI': (-200, 180), 'SHFE.CU': (-95, 78)}, 'openCountThresh': (8888, 1, 1)}","{'fixedVol': {'下单手数': {'SHFE.CU': 10, 'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.047810097260648755,0.20531055225261863,0.06011243247901245,3.415442426561268,0.9368423737704344,208,207,0.463768115942029,1169
['DCE.L'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'DCE.L': (-12, 22)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'DCE.L': 57}}},-0.0059029758964732285,-0.0020288005670552997,0.10177861953981282,-0.01993346516418109,-0.03482827133636162,473,473,0.49260042283298106,1170
['CZCE.CF'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'CZCE.CF': (-30, 35)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.08533030405409746,-0.02932727022574913,0.11804523656259835,-0.2484409458588965,-0.4445897333234004,224,224,0.4866071428571429,1171
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI', 'SHFE.CU']",60s,"('2019-06-22', '2019-09-26')","{'diffThresh': {'SHFE.RB': (-9, 7.5), 'DCE.J': (-6.5, 5.5), 'DCE.I': (-2.5, 2), 'DCE.JM': (-6.5, 5), 'SHFE.NI': (-200, 180), 'SHFE.CU': (-95, 78)}, 'openCountThresh': (8888, 1, 1)}","{'fixedVol': {'下单手数': {'SHFE.CU': 10, 'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.030773254896764458,0.11823408460335819,0.06011243247901245,1.9668823856801707,0.5514300596421521,222,222,0.4594594594594595,1172
['SHFE.NI'],60s,"('2016-10-01', '2019-09-01')","{'diffThresh': {'SHFE.NI': (-190, 180)}, 'openCountThresh': (8888, 1, 1)}",{'fixedVol': {'下单手数': {'SHFE.NI': 24}}},0.12059158403107748,0.051738456811710395,0.07776589880275186,0.6653103430713457,0.7250750293604477,512,511,0.5205479452054794,1173
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'diffThresh': {'SHFE.RB': (-9, 7.5), 'DCE.J': (-6.5, 5.5), 'DCE.I': (-2.5, 2), 'DCE.JM': (-6.5, 5), 'SHFE.NI': (-190, 180)}, 'openCountThresh': (8888, 1, 1)}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.08267397624174841,0.31764211924461233,0.06176914663496684,5.142407440429143,1.4843311850739151,210,210,0.4666666666666667,1174
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2016-10-01', '2019-09-26')","{'diffThresh': {'SHFE.RB': (-9, 7.5), 'DCE.J': (-6.5, 5.5), 'DCE.I': (-2.5, 2), 'DCE.JM': (-6.5, 5), 'SHFE.NI': (-190, 180)}, 'openCountThresh': (8888, 1, 1)}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",1.3114716842936571,0.4395658078670201,0.2541805347573278,1.7293448858571487,1.6969233329155238,2034,2034,0.5216322517207473,1175
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}",0.08267397624174841,0.31764211924461233,0.06176914663496684,5.142407440429143,1.4843311850739151,210,210,0.4666666666666667,1176
['DCE.L'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'DCE.L': [-12, 22], 0: -13, 1: 22}}",{'fixedVol': {'下单手数': {'DCE.L': 57}}},0.016058225485124998,0.061697392653375,0.010120413668925878,6.096331105793938,1.6517185446641351,29,29,0.5517241379310345,1177
['DCE.L'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'DCE.L': [-12, 22], 0: -12, 1: 22}}",{'fixedVol': {'下单手数': {'DCE.L': 57}}},0.016058225485124998,0.061697392653375,0.010120413668925878,6.096331105793938,1.6517185446641351,29,29,0.5517241379310345,1178
['DCE.L'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'DCE.L': [-12, 22], 0: -11, 1: 22}}",{'fixedVol': {'下单手数': {'DCE.L': 57}}},0.016058225485124998,0.061697392653375,0.010120413668925878,6.096331105793938,1.6517185446641351,29,29,0.5517241379310345,1179
['CZCE.CF'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'CZCE.CF': [-30, 35], 0: -31, 1: 35}}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.018436954357079975,-0.07083671937193886,0.02102926477727305,-3.3684829271109,-1.2935351340475674,18,18,0.4444444444444444,1180
['CZCE.CF'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'CZCE.CF': [-30, 35], 0: -30, 1: 35}}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.018436954357079975,-0.07083671937193886,0.02102926477727305,-3.3684829271109,-1.2935351340475674,18,18,0.4444444444444444,1181
['CZCE.CF'],60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'CZCE.CF': [-30, 35], 0: -29, 1: 35}}",{'fixedVol': {'下单手数': {'CZCE.CF': 42}}},-0.018436954357079975,-0.07083671937193886,0.02102926477727305,-3.3684829271109,-1.2935351340475674,18,18,0.4444444444444444,1182
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.15233980600723643,0.5853055704488558,0.14024559459366334,4.1734328421842735,1.6706889359390296,210,208,0.47115384615384615,1183
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.15233980600723643,0.5853055704488558,0.14024559459366334,4.1734328421842735,1.6706889359390296,210,208,0.47115384615384615,1184
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.15233980600723643,0.5853055704488558,0.14024559459366334,4.1734328421842735,1.6706889359390296,210,208,0.47115384615384615,1185
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.15233980600723643,0.5732374143571267,0.14024559459366334,4.0873826804897515,1.1820423731655536,210,208,0.47115384615384615,1186
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.13872818738758042,0.5220184370769778,0.13777661876663835,3.7888753676061393,1.07687413024342,214,212,0.46226415094339623,1187
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.07951443166019022,0.3087528463401003,0.0602286618290588,5.126344118625842,1.1143652678061156,207,207,0.463768115942029,1188
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.08821104359751847,0.34252160545844934,0.0602286618290588,5.687020017655305,1.2366266902201408,208,208,0.46634615384615385,1189
"['SHFE.RB', 'DCE.J', 'DCE.I', 'DCE.JM', 'SHFE.NI']",60s,"('2019-06-22', '2019-09-26')","{'openCountThresh': (8888, 1, 1), 'diffThresh': {'SHFE.RB': [-9, 7.5], 'DCE.J': [-6.5, 5.5], 'DCE.I': [-2.5, 2], 'DCE.JM': [-6.5, 5], 'SHFE.NI': [-190, 180]}}","{'fixedVol': {'下单手数': {'SHFE.RB': 68, 'SHFE.NI': 24, 'DCE.I': 40, 'DCE.J': 11, 'DCE.JM': 32}}}",0.08821104359751847,0.34252160545844934,0.0602286618290588,5.687020017655305,1.2366266902201408,208,208,0.46634615384615385,1190
